startupId,startupName,referenceURLs,candidateURLs,officialWebsite,status,searchQueries,emails,phones,linkedin,pagesChecked,notes
6a4a3e39e4b0359e44e3b2c8,INVENTA VENTURES LLP,"https://find-and-update.company-information.service.gov.uk/company/OC375546 | https://www.filesure.in/company/inventa-ventures-llp/ACU-0652?tab=about | https://www.companieslist.co.uk/OC375546-inventa-ventures-llp | https://www.northdata.com/Inventa Ventures LLP, London/Companies House OC375546","https://www.filesure.in/company/inventa-ventures-llp/ACU-0652?tab=about | https://find-and-update.company-information.service.gov.uk/company/OC375546 | https://www.companieslist.co.uk/OC375546-inventa-ventures-llp | https://www.northdata.com/Inventa Ventures LLP, London/Companies House OC375546",https://find-and-update.company-information.service.gov.uk/company/OC375546,OFFICIAL_WEBSITE_FOUND,"""INVENTA VENTURES LLP"" ""official website"" | ""INVENTA VENTURES LLP"" website | ""INVENTA VENTURES LLP"" Nagpur website | ""INVENTA VENTURES LLP"" Maharashtra website | ""INVENTA VENTURES LLP"" contact | ""INVENTA VENTURES LLP"" ""www."" | ""INVENTA VENTURES LLP"" ""https://""",,,,1,Website found through targeted web search
69e5f326e4b0e7f6cc6092f5,COHR TALENT MANAGEMENT PRIVATE LIMITED,https://qorpiq.com/company/cohr-talent-management-private-limited/U78200MH2025PTC451003 | https://www.filesure.in/company/cohr-talent-management-private-limited/U78200MH2025PTC451003?tab=about | https://compfilings.com/company/COHR-TALENT-MANAGEMENT-PRIVATE-LIMITED-U78200MH2025PTC451003 | https://www.mastersindia.co/mca-company-detail/?cname=COHR-TALENT-MANAGEMENT-PRIVATE-LIMITED/U78200MH2025PTC451003 | https://paperli.ai/company/cohr-talent-management-private-limited-U78200MH2025PTC451003 | https://www.filesure.in/director/pooja-gopal-thakur/11165179,https://qorpiq.com/company/cohr-talent-management-private-limited/U78200MH2025PTC451003 | https://compfilings.com/company/COHR-TALENT-MANAGEMENT-PRIVATE-LIMITED-U78200MH2025PTC451003 | https://www.filesure.in/company/cohr-talent-management-private-limited/U78200MH2025PTC451003?tab=about | https://www.mastersindia.co/mca-company-detail/?cname=COHR-TALENT-MANAGEMENT-PRIVATE-LIMITED/U78200MH2025PTC451003 | https://paperli.ai/company/cohr-talent-management-private-limited-U78200MH2025PTC451003,https://qorpiq.com/company/cohr-talent-management-private-limited/U78200MH2025PTC451003,OFFICIAL_WEBSITE_FOUND,"""COHR TALENT MANAGEMENT PRIVATE LIMITED"" ""official website"" | ""COHR TALENT MANAGEMENT PRIVATE LIMITED"" website | ""COHR TALENT MANAGEMENT PRIVATE LIMITED"" Nagpur website | ""COHR TALENT MANAGEMENT PRIVATE LIMITED"" Maharashtra website | ""COHR TALENT MANAGEMENT PRIVATE LIMITED"" contact | ""COHR TALENT MANAGEMENT PRIVATE LIMITED"" ""www."" | ""COHR TALENT MANAGEMENT PRIVATE LIMITED"" ""https://""","contact@qorpiq.com, team@qorpiq.com","+916305014334, 7817915094, 8522410820, 9163050143",,3,Website found through targeted web search
6811eb27e4b0611108b3f391,MUDITAA INFOSOFT LLP,https://qorpiq.com/company/muditaa-infosoft-llp/ACC-2122 | https://www.dnb.com/business-directory/company-profiles.muditaa_infosoft_llp.513dfe96ad3eced17a1f2f37e26c017b.html | https://www.companydetails.in/company/muditaa-infosoft-llp | https://mycorporateinfo.com/business-llp/muditaa-infosoft-llp | https://www.masterdata.in/company/muditaa_infosoft_llp/ACC-2122 | https://www.knowyourgst.com/gst-number-search/muditaa-infosoft-llp-27ABXFM8864A1ZN/ | https://obhau.in/contact-us/ | https://mycorporateinfo.com/director-llp/aarti-shrikant-bhangdiya-3407301,https://qorpiq.com/company/muditaa-infosoft-llp/ACC-2122 | https://mycorporateinfo.com/business-llp/muditaa-infosoft-llp | https://obhau.in/contact-us/ | https://mycorporateinfo.com/director-llp/aarti-shrikant-bhangdiya-3407301,https://qorpiq.com/company/muditaa-infosoft-llp/ACC-2122,OFFICIAL_WEBSITE_FOUND,"""MUDITAA INFOSOFT LLP"" ""official website"" | ""MUDITAA INFOSOFT LLP"" website | ""MUDITAA INFOSOFT LLP"" Nagpur website | ""MUDITAA INFOSOFT LLP"" Maharashtra website | ""MUDITAA INFOSOFT LLP"" contact | ""MUDITAA INFOSOFT LLP"" ""www."" | ""MUDITAA INFOSOFT LLP"" ""https://""","contact@qorpiq.com, team@qorpiq.com","+916305014334, 7817915094, 8522410820, 9163050143",,3,Website found through targeted web search
677bb3cbe4b0f84ff2b64b51,AMRIT OXIDANE PRIVATE LIMITED,https://buysellprivatelimited.com/company/amrit-oxidane-private-limited/U33122MH2024PTC421552 | https://www.instafinancials.com/company/amrit-oxidane-private-limited-U33122MH2024PTC421552 | https://www.companydetails.in/company/amrit-oxidane-private-limited | https://www.indiafilings.com/search/amrit-oxidane-private-limited-cin-U33122MH2024PTC421552 | https://www.dnb.com/business-directory/company-profiles.amrit_oxidane_private_limited.79730baae87610d10244939bd15b5e7b.html | https://www.filesure.in/company/amrit-oxidane-private-limited/U33122MH2024PTC421552?tab=about | https://company.vakilsearch.com/amrit-oxidane-private-limited/U33122MH2024PTC421552,https://buysellprivatelimited.com/company/amrit-oxidane-private-limited/U33122MH2024PTC421552 | https://www.filesure.in/company/amrit-oxidane-private-limited/U33122MH2024PTC421552?tab=about | https://company.vakilsearch.com/amrit-oxidane-private-limited/U33122MH2024PTC421552,https://buysellprivatelimited.com/company/amrit-oxidane-private-limited/U33122MH2024PTC421552,OFFICIAL_WEBSITE_FOUND,"""AMRIT OXIDANE PRIVATE LIMITED"" ""official website"" | ""AMRIT OXIDANE PRIVATE LIMITED"" website | ""AMRIT OXIDANE PRIVATE LIMITED"" Nagpur website | ""AMRIT OXIDANE PRIVATE LIMITED"" Maharashtra website | ""AMRIT OXIDANE PRIVATE LIMITED"" contact | ""AMRIT OXIDANE PRIVATE LIMITED"" ""www."" | ""AMRIT OXIDANE PRIVATE LIMITED"" ""https://""",support@buysellprivatelimited.com,"+91-8233844833, +918233844833, 7092775308, 7870475903, 7870475905, 7870475919, 7870475920, 7932516092, 7953391353, 8054671113, 8801075065, 9182338448, 9253466555, 9507784840",,2,Website found through targeted web search
66c04d84e4b0eebff778f4db,BIOCARE KMK PRIVATE LIMITED,https://biocarekmk.com/about-us/ | https://www.indiafilings.com/search/biocare-kmk-private-limited-cin-U46209MH2024PTC428619 | https://www.companydetails.in/company/biocare-kmk-private-limited | https://corpintel.io/BIOCARE-KMK-PRIVATE-LIMITED-U46209MH2024PTC428619 | https://qorpiq.com/company/biocare-kmk-private-limited/U46209MH2024PTC428619 | https://www.allindiaitr.com/company/biocare-kmk-private-limited/U46209MH2024PTC428619 | https://masterdata.in/company/biocare_kmk_private_limited/U46209MH2024PTC428619,https://biocarekmk.com/about-us/ | https://corpintel.io/BIOCARE-KMK-PRIVATE-LIMITED-U46209MH2024PTC428619 | https://company.vakilsearch.com/biocare-kmk-private-limited/U46209MH2024PTC428619 | https://qorpiq.com/company/biocare-kmk-private-limited/U46209MH2024PTC428619,https://biocarekmk.com/about-us/,OFFICIAL_WEBSITE_FOUND,"""BIOCARE KMK PRIVATE LIMITED"" ""official website"" | ""BIOCARE KMK PRIVATE LIMITED"" website | ""BIOCARE KMK PRIVATE LIMITED"" Nagpur website | ""BIOCARE KMK PRIVATE LIMITED"" Maharashtra website | ""BIOCARE KMK PRIVATE LIMITED"" contact | ""BIOCARE KMK PRIVATE LIMITED"" ""www."" | ""BIOCARE KMK PRIVATE LIMITED"" ""https://""",info@biocarekmk.com,"+91 7822956561, 6078431372, 7429926042, 7496969728, 7870476202, 7870476218, 7870476233, 7870476249, 8275322323, 8319193737, 8719896511, 9019607843, 9407444273, 9420850842, 9588620807, 9638480958, 9820594232, 9822325299, 9926447224, 9926498645, 9981033393","https://www.linkedin.com/in/amit-gondse-aa439a361/%20, https://www.linkedin.com/in/nandkishor-gharjare-3232178a/%20",4,Website found through targeted web search
667d7c32e4b095452164ffce,TAPI TECHNOSERVES PRIVATE LIMITED,https://www.instafinancials.com/company/tapi-technoserves-private-limited-U72900MH2022PTC395763 | https://www.companydetails.in/company/tapi-technoserves-private-limited | https://www.indiafilings.com/search/tapi-technoserves-private-limited-cin-U72900MH2022PTC395763 | https://companies.dubleu.co/company/tapi-technoserves-private-limited-U72900MH2022PTC395763 | https://corpintel.io/TAPI-TECHNOSERVES-PRIVATE-LIMITED-U72900MH2022PTC395763 | https://www.companyseekers.com/company/tapi-technoserves-private-limited/U72900MH2022PTC395763 | https://www.filesure.in/company/tapi-technoserves-private-limited/U72900MH2022PTC395763?tab=about | https://mycorporateinfo.com/director/sarang-sunil-pathrabe-9832537,https://companies.dubleu.co/company/tapi-technoserves-private-limited-U72900MH2022PTC395763 | https://corpintel.io/TAPI-TECHNOSERVES-PRIVATE-LIMITED-U72900MH2022PTC395763 | https://infomint.co.in/companies/tapi-technoserves-private-limited/U72900MH2022PTC395763/roc-mumbai/maharashtra/ | https://mycorporateinfo.com/director/sarang-sunil-pathrabe-9832537,https://companies.dubleu.co/company/tapi-technoserves-private-limited-U72900MH2022PTC395763,OFFICIAL_WEBSITE_FOUND,"""TAPI TECHNOSERVES PRIVATE LIMITED"" ""official website"" | ""TAPI TECHNOSERVES PRIVATE LIMITED"" website | ""TAPI TECHNOSERVES PRIVATE LIMITED"" Nagpur website | ""TAPI TECHNOSERVES PRIVATE LIMITED"" Maharashtra website | ""TAPI TECHNOSERVES PRIVATE LIMITED"" contact | ""TAPI TECHNOSERVES PRIVATE LIMITED"" ""www."" | ""TAPI TECHNOSERVES PRIVATE LIMITED"" ""https://""",,"7817915094, 9183399848",,1,Website found through targeted web search
66221248e4b0cdd2e3dab3e5,PROLANCE FUTURE PRIVATE LIMITED,https://www.companydetails.in/company/prolance-future-private-limited | https://findocorp.com/company/U73200MH2024PTC423350/prolance-future-private-limited | https://www.indiafilings.com/search/prolance-future-private-limited-cin-U73200MH2024PTC423350 | https://www.allindiaitr.com/company/prolance-future-private-limited/U73200MH2024PTC423350 | https://cin.iadv.io/PROLANCE-FUTURE-PRIVATE-LIMITED-U73200MH2024PTC423350/ | https://www.instafinancials.com/company/prolance-future-private-limited-U73200MH2024PTC423350/company-overview | https://corpintel.io/PROLANCE-FUTURE-PRIVATE-LIMITED-U73200MH2024PTC423350,https://findocorp.com/company/U73200MH2024PTC423350/prolance-future-private-limited | https://www.allindiaitr.com/company/prolance-future-private-limited/U73200MH2024PTC423350 | https://cin.iadv.io/PROLANCE-FUTURE-PRIVATE-LIMITED-U73200MH2024PTC423350/ | https://corpintel.io/PROLANCE-FUTURE-PRIVATE-LIMITED-U73200MH2024PTC423350,https://findocorp.com/company/U73200MH2024PTC423350/prolance-future-private-limited,OFFICIAL_WEBSITE_FOUND,"""PROLANCE FUTURE PRIVATE LIMITED"" ""official website"" | ""PROLANCE FUTURE PRIVATE LIMITED"" website | ""PROLANCE FUTURE PRIVATE LIMITED"" Nagpur website | ""PROLANCE FUTURE PRIVATE LIMITED"" Maharashtra website | ""PROLANCE FUTURE PRIVATE LIMITED"" contact | ""PROLANCE FUTURE PRIVATE LIMITED"" ""www."" | ""PROLANCE FUTURE PRIVATE LIMITED"" ""https://""",support@findocorp.com,7817915094,,4,Website found through targeted web search
65cb6ce2e4b0da2d942484d0,ENERGY SETU LLP,https://www.dnb.com/business-directory/company-profiles.energy_setu_llp.7acb4701e8193ab2951327bf8dd5e481.html | https://www.companydetails.in/company/energy-setu-llp | https://gstverify.co.in/gst/energy-setu-llp-27aaife9967e1zy/ | https://www.ezzus.com/biz/energy-setu-llp/AAX-1190 | https://tenderkart.in/gst-number-search/27AAIFE9967E1ZY | https://www.quickcompany.in/company/energy-setu-llp,https://www.quickcompany.in/company/energy-setu-llp | https://www.ezzus.com/biz/energy-setu-llp/AAX-1190 | https://gstverify.co.in/gst/energy-setu-llp-27aaife9967e1zy/,https://www.quickcompany.in/company/energy-setu-llp,OFFICIAL_WEBSITE_FOUND,"""ENERGY SETU LLP"" ""official website"" | ""ENERGY SETU LLP"" website | ""ENERGY SETU LLP"" Nagpur website | ""ENERGY SETU LLP"" Maharashtra website | ""ENERGY SETU LLP"" contact | ""ENERGY SETU LLP"" ""www."" | ""ENERGY SETU LLP"" ""https://""",info@quickcompany.in,"7642702147, 7870477314, 7991601785, 9187000991",https://www.linkedin.com/company/10369620/,3,Website found through targeted web search
659fa0cfe4b07df9a32e2f22,TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED,https://www.companydetails.in/company/tanwish-institute-of-health-and-wellness-private-limited | https://www.dnb.com/business-directory/company-profiles.tanwish_institute_of_health__wellness_private_limited.d041fba366a974dcd29a6ff72896ecff.html | https://company.vakilsearch.com/tanwi-institute-health-wellness-private-limited/U85499MH2023PTC403144 | https://corpintel.io/TANWISH-INSTITUTE-OF-HEALTH-WELLNESS-PRIVATE-LIMITED-U85499MH2023PTC403144 | https://www.globalbizreport.com/TANWISH-INSTITUTE-OF-HEALTH-&-WELLNESS-PRIVATE-LIMITED/U85499MH2023PTC403144/india/maharashtra/company-business-financial-credit-report | https://mycorporateinfo.com/business/tanwish-institute-of-health-wellness-private-limited | https://mycorporateinfo.com/director/abhijeet-dilip-bondre-10167756,https://mycorporateinfo.com/business/tanwish-institute-of-health-wellness-private-limited | https://company.vakilsearch.com/tanwi-institute-health-wellness-private-limited/U85499MH2023PTC403144 | https://corpintel.io/TANWISH-INSTITUTE-OF-HEALTH-WELLNESS-PRIVATE-LIMITED-U85499MH2023PTC403144 | https://mycorporateinfo.com/director/abhijeet-dilip-bondre-10167756,https://mycorporateinfo.com/business/tanwish-institute-of-health-wellness-private-limited,OFFICIAL_WEBSITE_FOUND,"""TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED"" ""official website"" | ""TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED"" website | ""TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED"" Nagpur website | ""TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED"" Maharashtra website | ""TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED"" contact | ""TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED"" ""www."" | ""TANWISH INSTITUTE OF HEALTH & WELLNESS PRIVATE LIMITED"" ""https://""","john@company.com, name@company.com, support@mycorporateinfo.com, tanwish.life@gmail.com",,https://linkedin.com/company/mycorporateinfo,3,Website found through targeted web search
649ebdd2e4b0a5524e7bb5b5,SHREE LAXMI PHARMA,https://www.maharashtradirectory.com/companyinfo/shree-laxmi-pharma-pune-169089.html | https://www.dnb.com/business-directory/company-profiles.shree_laxmi_pharma.634b370c9d03aa8806dcdc5307039f02.html | https://gstverify.co.in/gst/shree-laxmi-pharma-27aftpb8369k1zo/ | https://yellowpages.webindia123.com/d-t/Maharashtra/Pune/Shree-Laxmi-Pharma/45579/ | https://www.knowyourgst.com/gst-number-search/shree-laxmi-pharma-27BBPPK5365P1ZQ/ | https://www.dial4trade.com/shree-laxmi-pharma/contact-us.htm | https://aeroleads.com/c/surybhan,https://www.dial4trade.com/shree-laxmi-pharma/contact-us.htm | https://yellowpages.webindia123.com/d-t/Maharashtra/Pune/Shree-Laxmi-Pharma/45579/,https://www.dial4trade.com/shree-laxmi-pharma/contact-us.htm,OFFICIAL_WEBSITE_FOUND,"""SHREE LAXMI PHARMA"" ""official website"" | ""SHREE LAXMI PHARMA"" website | ""SHREE LAXMI PHARMA"" Nagpur website | ""SHREE LAXMI PHARMA"" Maharashtra website | ""SHREE LAXMI PHARMA"" contact | ""SHREE LAXMI PHARMA"" ""www."" | ""SHREE LAXMI PHARMA"" ""https://""",,8091352509,,4,Website found through targeted web search
