startupId,startupName,originalWebsite,originalErrorType,status,successfulURL,method,attempts,emails,phones,linkedin,pagesChecked,errorMessage
6a4a3e39e4b0359e44e3b2c8,INVENTA VENTURES LLP,https://www.inventaventures.com,HTTP_ERROR,NEEDS_WEB_SEARCH,,HTTPS_AND_HTTP_FAILED,4,,,,0,"HTTPS failed: Page.goto: net::ERR_HTTP_RESPONSE_CODE_FAILURE at https://www.inventaventures.com/
Call log:
  - navigating to ""https://www.inventaventures.com/"", waiting until ""domcontentloaded""
 | HTTP failed: Page.goto: net::ERR_HTTP_RESPONSE_CODE_FAILURE at http://www.inventaventures.com/
Call log:
  - navigating to ""http://www.inventaventures.com/"", waiting until ""domcontentloaded""
"
69e5f326e4b0e7f6cc6092f5,COHR TALENT MANAGEMENT PRIVATE LIMITED,https://cohr.in,HTTP_ERROR,NEEDS_WEB_SEARCH,,HTTPS_AND_HTTP_FAILED,4,,,,2,"HTTPS failed: Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://cohr.in/
Call log:
  - navigating to ""https://cohr.in/"", waiting until ""domcontentloaded""
 | HTTP failed: HTTP 409"
69e10b33e4b03fe8db9abb80,CFOSYNC AI PRIVATE LIMITED,https://www.cfosyncai.com,HTTP_ERROR,SUCCESS,https://www.cfosyncai.com,HTTPS_IGNORE_SSL,1,"hello@iceico.com, rahul@company.com, support@iceico.com",9389950473,,4,
698048efe4b06a6c449d1ee6,V7 DEFENCE INDUSTRIES PRIVATE LIMITED,https://www.v7industries.com,HTTP_ERROR,SUCCESS,https://www.v7industries.com,HTTPS_IGNORE_SSL,1,"info@v7industries.com, info@v7industries.in, sales@v7industries.com","+ 91712 222 5551, +917122225551, +9177962 22551, +917796222551, 6666666666, 7496969728, 7870402312, 8275396661, 9182739666, 9413549039",https://www.linkedin.com/company/v7-defence-industries-pvt-ltd/,4,
696a130ae4b0df7f2799d9b1,MAMTA BIORESOURCES LLP,https://mamtabioresources.com,HTTP_ERROR,SUCCESS,https://mamtabioresources.com,HTTPS_IGNORE_SSL,1,,,,1,
692d7b1de4b03cb054170989,PLACE ASSURED CONSULTANTS PRIVATE LIMITED,https://www.placeassured.com,HTTP_ERROR,SUCCESS,https://www.placeassured.com,HTTPS_IGNORE_SSL,1,,,,2,
6926c688e4b03cb054152510,CELERIS VENTURES LLP,https://www.celerisventures.com,CONNECTION_ERROR,SUCCESS,http://www.celerisventures.com,HTTP_FALLBACK,3,,6743634772,,1,
691c645be4b03cb0541289e3,DROPLETX PRIVATE LIMITED,https://www.dropletx.com/,HTTP_ERROR,SUCCESS,http://www.dropletx.com/,HTTP_FALLBACK,3,,,,1,
68f21363e4b063a5bed606df,CHUDIWAL AGRO &amp; FOOD INDUSTRY PRIVATE LIMITED,https://www.chudiwal.com,HTTP_ERROR,SUCCESS,https://www.chudiwal.com,HTTPS_IGNORE_SSL,1,"hello@iceico.com, rahul@company.com, support@iceico.com",9389950473,,4,
68a05159e4b021e0fa50cce6,UPLYNK NETWORKS PRIVATE LIMITED,https://www.uplynknetworks.com,HTTP_ERROR,SUCCESS,https://www.uplynknetworks.com,HTTPS_IGNORE_SSL,1,webmaster@uplynknetworks.com,,,1,
