startupId,startupName,originalWebsite,originalErrorType,status,attempts,emails,phones,linkedin,pagesChecked,errorMessage
6a4a3e39e4b0359e44e3b2c8,INVENTA VENTURES LLP,https://www.inventaventures.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_HTTP_RESPONSE_CODE_FAILURE at https://www.inventaventures.com/
Call log:
  - navigating to ""https://www.inventaventures.com/"", waiting until ""domcontentloaded""
"
6a05c061e4b07cca57a0e788,DENGANI BROTHERS LLP,https://www.dhobikaka.com,HTTP_ERROR,SUCCESS,1,dhobikaka@outlook.com,"+917387459765, 6026381168, 7387459765, 7733435315, 8660967758, 8741275481, 9009080464",,3,
69f08586e4b07cca57967e6c,SRUSHTI TATVA INDIA PRIVATE LIMITED,https://www.srushtitatva.com,HTTP_ERROR,SUCCESS,1,,,,1,
69e5f326e4b0e7f6cc6092f5,COHR TALENT MANAGEMENT PRIVATE LIMITED,https://cohr.in,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://cohr.in/
Call log:
  - navigating to ""https://cohr.in/"", waiting until ""domcontentloaded""
"
69e10b33e4b03fe8db9abb80,CFOSYNC AI PRIVATE LIMITED,https://www.cfosyncai.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.cfosyncai.com/
Call log:
  - navigating to ""https://www.cfosyncai.com/"", waiting until ""domcontentloaded""
"
698048efe4b06a6c449d1ee6,V7 DEFENCE INDUSTRIES PRIVATE LIMITED,https://www.v7industries.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_ABORTED at https://www.v7industries.com/
Call log:
  - navigating to ""https://www.v7industries.com/"", waiting until ""domcontentloaded""
"
696a130ae4b0df7f2799d9b1,MAMTA BIORESOURCES LLP,https://mamtabioresources.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://mamtabioresources.com/
Call log:
  - navigating to ""https://mamtabioresources.com/"", waiting until ""domcontentloaded""
"
692d7b1de4b03cb054170989,PLACE ASSURED CONSULTANTS PRIVATE LIMITED,https://www.placeassured.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.placeassured.com/
Call log:
  - navigating to ""https://www.placeassured.com/"", waiting until ""domcontentloaded""
"
6926c688e4b03cb054152510,CELERIS VENTURES LLP,https://www.celerisventures.com,CONNECTION_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CONNECTION_CLOSED at https://www.celerisventures.com/
Call log:
  - navigating to ""https://www.celerisventures.com/"", waiting until ""domcontentloaded""
"
691c645be4b03cb0541289e3,DROPLETX PRIVATE LIMITED,https://www.dropletx.com/,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.dropletx.com/
Call log:
  - navigating to ""https://www.dropletx.com/"", waiting until ""domcontentloaded""
"
68f21363e4b063a5bed606df,CHUDIWAL AGRO &amp; FOOD INDUSTRY PRIVATE LIMITED,https://www.chudiwal.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.chudiwal.com/
Call log:
  - navigating to ""https://www.chudiwal.com/"", waiting until ""domcontentloaded""
"
68a05159e4b021e0fa50cce6,UPLYNK NETWORKS PRIVATE LIMITED,https://www.uplynknetworks.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CERT_DATE_INVALID at https://www.uplynknetworks.com/
Call log:
  - navigating to ""https://www.uplynknetworks.com/"", waiting until ""domcontentloaded""
"
685d468ee4b06dfc4c9ddfa9,DVSLA TECHNOLOGIES PRIVATE LIMITED,https://www.hertzcharge.in,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.hertzcharge.in/
Call log:
  - navigating to ""https://www.hertzcharge.in/"", waiting until ""domcontentloaded""
"
6811eb27e4b0611108b3f391,MUDITAA INFOSOFT LLP,https://: https://obhau.com,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""https://: https://obhau.com"", waiting until ""domcontentloaded""
"
6780d106e4b0086ce8e30d7d,SHIVAANI HYGIENE PRIVATE LIMITED,https://www.vaidyaindustries.in,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CERT_DATE_INVALID at https://www.vaidyaindustries.in/
Call log:
  - navigating to ""https://www.vaidyaindustries.in/"", waiting until ""domcontentloaded""
"
677bb3cbe4b0f84ff2b64b51,AMRIT OXIDANE PRIVATE LIMITED,https://0,HTTP_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_ADDRESS_INVALID at https://0.0.0.0/
Call log:
  - navigating to ""https://0.0.0.0/"", waiting until ""domcontentloaded""
"
67582fdce4b0953e58b21e72,AAVRAJAN SERVICES PRIVATE LIMITED,https://moneykauf.com/home/,CONNECTION_ERROR,RETRY_FAILED,3,,,,0,"Page.goto: net::ERR_CONNECTION_CLOSED at https://moneykauf.com/home/
Call log:
  - navigating to ""https://moneykauf.com/home/"", waiting until ""domcontentloaded""
"
