startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus,scrapedEmail,scrapedPhone,scrapedLinkedIn,pagesChecked,scrapeStatus,scrapeError
6a75ab33e4b0b55585aa9b4f,SIDDHSAANVI FOODS AND BEVERAGES PRIVATE LIMITED,DIPP276074,RECOGNISED,U15100MH2019PTC325768,Validation,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://yordey.in,,,,OK,contact@siddhsaanvi.com,+91 7496969728; +91 7770018299; +91 9764761786,,3,SUCCESS,
6a7258ffe4b0b55585a9110a,QUASARUS (OPC) PRIVATE LIMITED,DIPP276735,RECOGNISED,U72100ME2026OPC475693,Validation,Nagpur,Maharashtra,Renewable Energy,Others,https://quasarus.in,,,,OK,research@quasarus.in,,,3,SUCCESS,
6a5c7f56e4b01a12d3aaba6c,SAVENTIN ULTRASTRUCTURE PRIVATE LIMITED,DIPP273051,RECOGNISED,U45309MH2022PTC396271,Scaling,Nagpur,Maharashtra,Construction,Construction & Engineering,https://www.saventin.in,,,,OK,saventin@rediffmail.com,+91 7362342521; +91 7709722780; +91 8600124036; +91 8897302615; +91 9112000465,,2,SUCCESS,
6a5b445fe4b01a12d3aa5c47,WIPSLY TECHNOLOGIES PRIVATE LIMITED,DIPP272951,RECOGNISED,U58202MH2025PTC464040,EarlyTraction,Nagpur,Maharashtra,IT Services,Product Development,https://www.wipsley.com,,,,OK,,+91 7817915094,,1,SUCCESS,
6a58d27be4b01a12d3a9b735,AVIONEXT AVIATION PRIVATE LIMITED,DIPP272666,RECOGNISED,U52231ME2026PTC473510,EarlyTraction,Nagpur,Maharashtra,Education,Skill Development,https://avionextaviation.com/,,,,OK,,,,1,SUCCESS,
6a57305fe4b01a12d3a926aa,VELOURA GLOBAL EXPORTS PRIVATE LIMITED,DIPP272325,RECOGNISED,U46209MH2025PTC455828,EarlyTraction,Nagpur,Maharashtra,Agriculture,Organic Agriculture,https://www.rootans.in,,,,OK,admin@rootans.in,+91 6666666667; +91 7496969728; +91 7748748140; +91 8424782150; +91 8979781938; +91 9511635632,,2,SUCCESS,
6a4ff0cce4b061f5fedf1788,DEVADROS AUTOMATA PRIVATE LIMITED,DIPP273947,RECOGNISED,U72100PN2026PTC250873,Prototype,Nagpur,Maharashtra,Robotics,Robotics Technology,https://www.devadros.com/,,,,OK,example@email.com,,https://www.linkedin.com/company/devadros-automata-private-limited/posts/?feedView=all,4,SUCCESS,
6a4d1e34e4b061f5fede5b42,VCF CYBER SOLUTIONS PRIVATE LIMITED,DIPP271273,RECOGNISED,U62099MH2023PTC404807,EarlyTraction,Nagpur,Maharashtra,IT Services,IT Consulting,https://vigilantecyberforces.com,,,,OK,contact@vigilantecyberforces.com; services@vcfcybersolutions.com; vigilante.de.jure@gmail.com,+91 8895742259,https://www.linkedin.com/company/vigilante-cyber-forces/,3,SUCCESS,
6a4a3e39e4b0359e44e3b2c8,INVENTA VENTURES LLP,DIPP270609,RECOGNISED,ACU-0652,EarlyTraction,Nagpur,Maharashtra,Green Technology,Clean Tech,https://www.inventaventures.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_HTTP_RESPONSE_CODE_FAILURE at https://www.inventaventures.com/
Call log:
  - navigating to ""https://www.inventaventures.com/"", waiting until ""domcontentloaded""
"
6a47b338e4b0359e44e3153f,FISHTECH SOLUTIONS PRIVATE LIMITED,DIPP270412,RECOGNISED,U73100MH2024PTC419243,Scaling,Nagpur,Maharashtra,IT Services,Product Development,https://www.fishtechsolutions.com,,,,OK,info@fishtechsolutions.com; support@fishtechsoluions.com,+91 7129420293; +91 7132678419; +91 7134207683; +91 7137830762; +91 7496969728; +91 7866007322; +91 8180966066; +91 8445657175,,3,SUCCESS,
6a47ae7ee4b0359e44e31356,SOMYA INTEGRATED SAFETY SECURITY SERVICES LLP,DIPP270404,RECOGNISED,ACE-6946,EarlyTraction,Nagpur,Maharashtra,Security Solutions,Others,https://www.sismultipurposeservices.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.sismultipurposeservices.com/
Call log:
  - navigating to ""https://www.sismultipurposeservices.com/"", waiting until ""domcontentloaded""
"
6a477edde4b0359e44e2fb0a,SAVIYO VENTURES LLP,DIPP270314,RECOGNISED,ACS-9306,Validation,Nagpur,Maharashtra,Fashion,Apparel,https://theunfoldarc.com,,,,OK,,,,1,SUCCESS,
6a43c29fe4b0359e44e1d2d8,VRAJA CREATION LLP,DIPP269876,RECOGNISED,ACZ-3993,Validation,Nagpur,Maharashtra,Textiles & Apparel,Non- Leather Textiles Goods,https://NIL,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://nil/
Call log:
  - navigating to ""https://nil/"", waiting until ""domcontentloaded""
"
6a435996e4b0359e44e19037,SMKJ BEVERAGES LLP,DIPP269730,RECOGNISED,ACR-2435,Validation,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://NA,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://na/
Call log:
  - navigating to ""https://na/"", waiting until ""domcontentloaded""
"
6a425805e4b0359e44e14a4d,SWAZTHI ENTERPRISES LLP,DIPP269650,RECOGNISED,ACB-0839,Validation,Nagpur,Maharashtra,Architecture Interior Design,Others,https://NA,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://na/
Call log:
  - navigating to ""https://na/"", waiting until ""domcontentloaded""
"
6a3b86f9e4b0359e44df2d4e,RAAFIANA GLOBAL LLP,DIPP268773,RECOGNISED,ACX-0703,Prototype,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://NA,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://na/
Call log:
  - navigating to ""https://na/"", waiting until ""domcontentloaded""
"
6a397d7fe4b0359e44de945c,THINKING LAB SDC (OPC) PRIVATE LIMITED,DIPP268473,RECOGNISED,U85499MH2025OPC457339,Prototype,Nagpur,Maharashtra,Education,Skill Development,https://thethinkinglab.co.in,,,,OK,thethinkinglab0404@gmail.com,+91 8530746335; +91 9185307463; +91 9193077122,https://www.linkedin.com/company/stemconnect-thethinkinglab/,3,SUCCESS,
6a393ed7e4b0359e44de827f,ELEVEN RUDRAKSHAK REAL ESTATE PRIVATE LIMITED,DIPP268451,RECOGNISED,U68100ME2026PTC475004,Validation,Nagpur,Maharashtra,Real Estate,Others,https://NIL,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://nil/
Call log:
  - navigating to ""https://nil/"", waiting until ""domcontentloaded""
"
6a38f51ee4b06921f1d7ad87,SDM ROBOTICS & DRONE TRAINING ACADEMY PRIVATE LIMITED,DIPP268518,RECOGNISED,U85306MH2026PTC466967,Prototype,Nagpur,Maharashtra,Education,Skill Development,https://www.sdmrobotics.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.sdmrobotics.com/
Call log:
  - navigating to ""https://www.sdmrobotics.com/"", waiting until ""domcontentloaded""
"
6a3660c0e4b06921f1d71fdb,YATRAH INFRASTRUCTURE PRIVATE LIMITED,DIPP268120,RECOGNISED,U41001ME2026PTC473977,Scaling,Nagpur,Maharashtra,Construction,Construction & Engineering,https://www.falconebiz.com/company/YATRAH-INFRASTRUCTURE-PRIVATE-LIMITED-U41001ME2026PTC473977,,,,OK,hinfra@gmail.com; info@arinesolutions.com; sales@falconebiz.com; support@falconebiz.com,+91 6744070341; +91 7017782444; +91 7866007783; +91 7866007785; +91 9167789464; +91 9971990887,,4,SUCCESS,
6a36470ae4b06921f1d7110d,SVSTAR EDUCATION PRIVATE LIMITED,DIPP268074,RECOGNISED,U85491ME2026PTC474935,Prototype,Nagpur,Maharashtra,Education,Others,https://NA,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://na/
Call log:
  - navigating to ""https://na/"", waiting until ""domcontentloaded""
"
6a3246c5e4b06921f1d5a373,ORROAA VENTURES PRIVATE LIMITED,DIPP267764,RECOGNISED,U46491MH2025PTC452522,Validation,Nagpur,Maharashtra,Retail,Others,https://www.orroaa.com,,,,OK,,+91 6031864309; +91 6063054009; +91 6111780652; +91 6206717806; +91 6361853792; +91 6452220091; +91 6501780652; +91 6515895839; +91 6516471099; +91 6518388431; +91 6531162662; +91 6665417806; +91 6678029534; +91 6882530588; +91 6925396141; +91 7061780652; +91 7209189334; +91 7272532802; +91 7301445359; +91 7478906057; +91 7494117806; +91 7495441780; +91 7501770159; +91 7501776713; +91 7501816035; +91 7501819311; +91 7545521780; +91 7560584324; +91 7596247576; +91 7601532723; +91 7638634718; +91 7654328517; +91 7718385017; +91 7860590411; +91 7872899178; +91 7917180178; +91 7929760129; +91 7933591812; +91 7943592367; +91 7957776246; +91 8012300178; +91 8013680474; +91 8167353275; +91 8191793857; +91 8193499178; +91 8293167896; +91 8331945803; +91 8332251889; +91 8332719947; +91 8332763791; +91 8332848922; +91 8367017806; +91 8370535714; +91 8417806527; +91 8451780652; +91 8486774591; +91 8526178065; +91 8558206033; +91 8591544181; +91 8635456894; +91 8700948114; +91 8753476351; +91 8840178065; +91 8869366487; +91 8923337488; +91 8966765178; +91 8971157717; +91 9048781390; +91 9108189152; +91 9135617806; +91 9239564550; +91 9239664918; +91 9239820173; +91 9239834427; +91 9239861854; +91 9257285150; +91 9311878856; +91 9382217806; +91 9503552178; +91 9520878331; +91 9549252120; +91 9619417806; +91 9664917806; +91 9685161196; +91 9837617504; +91 9841507637,,2,SUCCESS,
6a303e4ae4b06921f1d5082f,MINTECH INNOVATIONS PRIVATE LIMITED,DIPP267587,RECOGNISED,U62012ME2026PTC473595,Validation,Nagpur,Maharashtra,Social Network,Others,https://tinysteps.social/,,,,OK,support@tinysteps.social,,https://www.linkedin.com/in/himanshu-shrivastav-04a9bb50/,2,SUCCESS,
6a2d5fc6e4b06921f1d43927,HBGADGET TECHNOLOGY &amp; SOLUTIONS PRIVATE LIMITED,DIPP267242,RECOGNISED,U72900MH2019PTC319377,Scaling,Nagpur,Maharashtra,Internet of Things,Others,https://hbgadget.in,,,,OK,info@crdencetracker.com; info@credencetracker.com; sales@hbgadget.in,+91 6347329840; +91 7030811155; +91 8528408558; +91 9158149111; +91 9170308111; +91 9555462515; +91 9876543210,https://www.linkedin.com/company/hb-gadget-technology-solutions-pvt-ltd/posts/?feedView=all,4,SUCCESS,
6a294d66e4b06921f1d2c8f1,SAERA HEALTHCARE LLP,DIPP266654,RECOGNISED,ACY-8643,Prototype,Nagpur,Maharashtra,Healthcare & Lifesciences,Health & Wellness,https://NA,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://na/
Call log:
  - navigating to ""https://na/"", waiting until ""domcontentloaded""
"
